stockNumber,availability,shape,weight,color,clarity,cutGrade,polish,symmetry,fluorescenceIntensity,fluorescenceColor,measurements,BGM,eyeClean,lab,reportNumber,rapLabReportID,treatment,rapNetPrice,rapNetDiscountPercent,cashPrice,cashPriceDiscountPercent,buyNowPricePerCt,buyNowRapPercent,depthPercent,tablePercent,girdleThin,girdleThick,girdlePercent,girdleCondition,culetSize,culetCondition,crownHeight,crownAngle,pavilionDepth,pavilionAngle,laserInscription,certComment,keyToSymbols,memberComment,starLength,shade,whiteInclusion,blackInclusion,openInclusion,milky,fancyColor,fancyColorIntensity,fancyColorOvertone,country,state,city,brand,sellerSpec,sarineID,reportFileName,report2FileName,websiteLink,images,videos,documents,tradeShow,reportIssueDate,reportType,labLocation,pairStockNumber,isMatchedPairSeparable,allowRapLinkFeed,parcelStones,tracrID,roughSource,mine
S1034,STPS,Round,2.87,H,IF,G,G,VG,Medium,Yellow,4.95 x 7.82 x 2.01,,Yes,IGI,RN10034,RL10034,Fracture Filled,4660.63,-51.11,11641.87,-8.81,2241.25,-34.45,63.77,62.25,Thick,Medium,1.97,Faceted,Small,Abraded,18.26,32.44,40.37,41.56,LI1034,Sample certification comment,"Feather, Cloud",Sample member comment,55.6,Brown,No,Yes,Yes,Yes,Yellow,Vivid,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1034,report_34.pdf,report2_34.pdf,https://diamondsite.com/diamond/34,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-10,Grading,Mumbai,S2034,False,False,Yes,TID3034,Botswana,Orapa
S1035,STPS,Oval,4.08,D,IF,VG,EX,VG,Medium,Blue,5.03 x 6.59 x 3.18,Brown,Yes,HRD,RN10035,RL10035,None,1821.91,-18.86,767.99,-35.29,10101.72,-43.76,57.31,54.4,Thin,Medium,1.07,Natural,None,Chipped,12.73,32.26,40.27,40.28,LI1035,Sample certification comment,"Feather, Cloud",Sample member comment,57.95,No shade,No,No,No,No,Yellow,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1035,report_35.pdf,report2_35.pdf,https://diamondsite.com/diamond/35,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-23,Grading,Mumbai,S2035,False,False,No,TID3035,Botswana,Orapa
S1036,NA,Round,4.33,F,VVS1,VG,VG,G,Faint,Yellow,7.22 x 4.9 x 2.1,Milky,Yes,GCAL,RN10036,RL10036,Fracture Filled,8440.88,-23.32,1503.67,-32.22,2160.76,-17.75,63.84,54.54,Thin,Thick,2.81,Faceted,Small,Pointed,15.91,31.9,42.73,41.19,LI1036,Sample certification comment,"Feather, Cloud",Sample member comment,49.51,No shade,No,Yes,Yes,No,Blue,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1036,report_36.pdf,report2_36.pdf,https://diamondsite.com/diamond/36,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-28,Grading,Mumbai,S2036,True,False,No,TID3036,Botswana,Orapa
S1037,G,Oval,3.4,E,VVS1,EX,VG,VG,Medium,Blue,7.04 x 7.53 x 3.16,Green,No,HRD,RN10037,RL10037,None,6942.61,-19.12,9952.73,-40.46,12470.07,-30.4,60.92,62.56,Medium,Thick,1.16,Polished,Small,Abraded,19.44,30.54,42.3,41.08,LI1037,Sample certification comment,"Feather, Cloud",Sample member comment,52.23,Brown,No,Yes,No,No,Yellow,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1037,report_37.pdf,report2_37.pdf,https://diamondsite.com/diamond/37,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-17,Grading,Mumbai,S2037,False,False,Yes,TID3037,Botswana,Orapa
S1038,G,Round,1.18,F,IF,VG,EX,VG,Strong,Yellow,5.84 x 4.19 x 3.66,Green,No,IGI,RN10038,RL10038,None,4482.21,-38.96,5430.5,-62.92,11745.24,-44.86,57.68,62.54,Medium,Medium,0.67,Polished,None,Abraded,18.39,30.1,40.84,41.51,LI1038,Sample certification comment,"Feather, Cloud",Sample member comment,58.61,No shade,Yes,Yes,Yes,No,Blue,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1038,report_38.pdf,report2_38.pdf,https://diamondsite.com/diamond/38,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-01,Grading,Mumbai,S2038,True,False,Yes,TID3038,Botswana,Orapa
S1039,G,Princess,3.38,H,VS1,G,VG,EX,None,Blue,6.61 x 4.87 x 3.31,Green,Yes,IGI,RN10039,RL10039,HPHT,1201.0,-30.62,12177.84,-45.95,1362.82,-21.12,58.74,57.14,Medium,Medium,2.34,Faceted,None,Pointed,10.59,33.02,43.72,40.32,LI1039,Sample certification comment,"Feather, Cloud",Sample member comment,57.12,Brown,No,Yes,Yes,No,Blue,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1039,report_39.pdf,report2_39.pdf,https://diamondsite.com/diamond/39,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-07,Grading,Mumbai,S2039,True,True,No,TID3039,Botswana,Orapa
S1040,STPS,Emerald,1.5,G,VS2,VG,VG,G,Faint,Yellow,7.54 x 4.48 x 3.36,Milky,Yes,GIA,RN10040,RL10040,Fracture Filled,9517.34,-47.41,6292.57,-39.26,14972.06,-38.06,58.87,55.65,Thick,Thick,1.48,Polished,Small,Abraded,14.44,35.91,43.7,40.73,LI1040,Sample certification comment,"Feather, Cloud",Sample member comment,58.81,No shade,Yes,No,No,No,Yellow,,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1040,report_40.pdf,report2_40.pdf,https://diamondsite.com/diamond/40,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-03,Grading,Mumbai,S2040,False,False,No,TID3040,Botswana,Orapa
S1041,NA,Round,3.65,E,IF,EX,EX,G,Faint,Blue,5.8 x 7.94 x 2.61,Brown,No,GIA,RN10041,RL10041,,4093.3,-22.53,3535.47,-44.7,13023.64,-12.0,56.59,57.24,Thin,Thick,1.28,Natural,Medium,Pointed,19.1,33.38,41.48,41.1,LI1041,Sample certification comment,"Feather, Cloud",Sample member comment,46.01,Grey,Yes,No,No,Yes,Yellow,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1041,report_41.pdf,report2_41.pdf,https://diamondsite.com/diamond/41,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-22,Grading,Mumbai,S2041,False,True,Yes,TID3041,Botswana,Orapa
S1042,NA,Round,2.23,H,VS1,VG,EX,EX,Strong,Blue,4.07 x 6.11 x 2.68,Brown,Yes,IGI,RN10042,RL10042,,11502.71,-38.54,8714.34,-60.75,10432.25,-39.35,55.72,58.15,Medium,Thin,1.36,Natural,Medium,Pointed,11.7,30.46,41.02,41.72,LI1042,Sample certification comment,"Feather, Cloud",Sample member comment,55.09,No shade,No,Yes,Yes,Yes,Yellow,Vivid,,India,Gujarat,Surat,CG Diamond,Premium,SID1042,report_42.pdf,report2_42.pdf,https://diamondsite.com/diamond/42,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-27,Grading,Mumbai,S2042,True,True,No,TID3042,Botswana,Orapa
S1043,M,Emerald,1.93,D,VS1,VG,VG,VG,Faint,,7.31 x 4.55 x 3.14,,Yes,IGI,RN10043,RL10043,Fracture Filled,4258.19,-12.7,5477.91,-18.63,7939.99,-12.36,57.55,56.43,Medium,Medium,2.25,Natural,None,Pointed,10.55,32.65,43.31,41.28,LI1043,Sample certification comment,"Feather, Cloud",Sample member comment,48.5,Grey,Yes,Yes,Yes,No,Yellow,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1043,report_43.pdf,report2_43.pdf,https://diamondsite.com/diamond/43,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-21,Grading,Mumbai,S2043,False,False,Yes,TID3043,Botswana,Orapa
S1044,M,Oval,1.89,E,VS1,G,VG,VG,Strong,Yellow,7.45 x 4.37 x 2.45,Brown,No,GIA,RN10044,RL10044,,4881.83,-24.37,2697.37,-42.58,13868.32,-20.73,57.95,54.14,Thin,Thin,2.23,Faceted,None,Pointed,12.0,35.48,42.25,41.04,LI1044,Sample certification comment,"Feather, Cloud",Sample member comment,47.43,No shade,No,No,No,No,Pink,,,India,Gujarat,Surat,CG Diamond,Premium,SID1044,report_44.pdf,report2_44.pdf,https://diamondsite.com/diamond/44,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-14,Grading,Mumbai,S2044,True,False,Yes,TID3044,Botswana,Orapa
S1045,NA,Oval,3.11,G,VVS1,VG,EX,VG,Strong,Blue,5.47 x 6.01 x 4.9,,No,GCAL,RN10045,RL10045,HPHT,5221.3,-40.35,893.69,-33.19,4579.45,-6.71,63.05,58.44,Thick,Medium,0.9,Polished,Small,Abraded,10.73,35.66,44.92,41.85,LI1045,Sample certification comment,"Feather, Cloud",Sample member comment,45.64,No shade,Yes,No,Yes,No,,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1045,report_45.pdf,report2_45.pdf,https://diamondsite.com/diamond/45,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-27,Grading,Mumbai,S2045,False,False,Yes,TID3045,Botswana,Orapa
S1046,G,Princess,0.54,E,VVS1,EX,EX,G,Faint,,4.0 x 6.73 x 3.89,Brown,No,GCAL,RN10046,RL10046,,1816.53,-38.27,4803.22,-21.29,13459.93,-13.24,59.46,56.22,Thin,Thick,1.28,Polished,Medium,Chipped,15.35,30.68,44.26,41.69,LI1046,Sample certification comment,"Feather, Cloud",Sample member comment,59.71,Brown,No,No,No,No,,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1046,report_46.pdf,report2_46.pdf,https://diamondsite.com/diamond/46,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-12,Grading,Mumbai,S2046,True,True,Yes,TID3046,Botswana,Orapa
S1047,M,Round,3.86,E,VS2,EX,EX,EX,Strong,Blue,7.73 x 6.71 x 2.01,,Yes,GCAL,RN10047,RL10047,Fracture Filled,6630.4,-22.6,1820.21,-45.11,1246.16,-22.42,60.33,54.63,Thick,Thick,0.62,Polished,None,Pointed,13.65,35.69,42.62,41.59,LI1047,Sample certification comment,"Feather, Cloud",Sample member comment,57.64,Grey,No,Yes,Yes,No,,,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1047,report_47.pdf,report2_47.pdf,https://diamondsite.com/diamond/47,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-02,Grading,Mumbai,S2047,True,True,Yes,TID3047,Botswana,Orapa
S1048,G,Oval,1.49,E,VVS2,EX,VG,EX,Medium,,4.55 x 5.73 x 4.33,,No,IGI,RN10048,RL10048,HPHT,12233.3,-27.55,3581.39,-34.14,9617.56,-7.74,57.44,51.43,Thin,Thick,2.64,Polished,Small,Abraded,11.3,33.84,44.01,41.94,LI1048,Sample certification comment,"Feather, Cloud",Sample member comment,46.97,Brown,Yes,No,No,No,Blue,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1048,report_48.pdf,report2_48.pdf,https://diamondsite.com/diamond/48,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-13,Grading,Mumbai,S2048,True,False,No,TID3048,Botswana,Orapa
S1049,M,Round,4.79,H,IF,EX,VG,VG,Faint,Yellow,4.09 x 7.17 x 4.72,Milky,Yes,GIA,RN10049,RL10049,,11361.95,-13.48,12031.78,-25.21,2857.5,-21.32,60.73,61.31,Thick,Thick,2.63,Polished,Small,Chipped,17.35,30.22,44.75,41.39,LI1049,Sample certification comment,"Feather, Cloud",Sample member comment,54.7,No shade,Yes,No,No,No,,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1049,report_49.pdf,report2_49.pdf,https://diamondsite.com/diamond/49,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-09,Grading,Mumbai,S2049,True,True,No,TID3049,Botswana,Orapa
S1050,NA,Oval,4.21,E,VVS1,G,G,EX,Medium,Yellow,7.45 x 7.75 x 2.37,Green,No,IGI,RN10050,RL10050,,7877.59,-42.75,6796.53,-41.26,4200.66,-35.97,57.47,61.91,Thin,Thick,1.67,Faceted,None,Pointed,13.44,31.22,44.11,41.5,LI1050,Sample certification comment,"Feather, Cloud",Sample member comment,46.98,Grey,Yes,No,Yes,Yes,Blue,Faint,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1050,report_50.pdf,report2_50.pdf,https://diamondsite.com/diamond/50,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-13,Grading,Mumbai,S2050,True,True,Yes,TID3050,Botswana,Orapa
S1051,G,Emerald,3.48,G,IF,EX,EX,VG,Strong,Blue,7.73 x 7.82 x 4.89,Green,No,HRD,RN10051,RL10051,HPHT,5577.0,-36.51,7509.38,-6.21,11534.35,-8.59,63.65,56.19,Medium,Thick,2.14,Faceted,None,Chipped,16.2,30.15,44.78,41.23,LI1051,Sample certification comment,"Feather, Cloud",Sample member comment,58.36,Brown,No,Yes,Yes,Yes,,,,India,Gujarat,Surat,CG Diamond,Premium,SID1051,report_51.pdf,report2_51.pdf,https://diamondsite.com/diamond/51,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-27,Grading,Mumbai,S2051,False,False,No,TID3051,Botswana,Orapa
S1052,NA,Princess,4.39,E,VS2,EX,EX,VG,Faint,,6.58 x 6.0 x 3.57,Brown,Yes,IGI,RN10052,RL10052,Fracture Filled,12399.7,-22.34,9191.53,-57.58,7620.99,-2.78,63.41,60.57,Thin,Medium,1.02,Natural,None,Abraded,18.27,33.66,40.43,40.09,LI1052,Sample certification comment,"Feather, Cloud",Sample member comment,46.07,Brown,Yes,Yes,No,No,Pink,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1052,report_52.pdf,report2_52.pdf,https://diamondsite.com/diamond/52,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-09-20,Grading,Mumbai,S2052,False,True,Yes,TID3052,Botswana,Orapa
S1053,NA,Emerald,0.43,G,VS2,G,EX,VG,Faint,Blue,6.19 x 6.58 x 4.7,Milky,No,GIA,RN10053,RL10053,None,8161.71,-58.15,9725.62,-6.28,5728.49,-10.86,61.74,62.29,Medium,Thin,1.05,Natural,None,Chipped,10.42,32.3,41.58,41.09,LI1053,Sample certification comment,"Feather, Cloud",Sample member comment,52.56,Grey,No,Yes,No,No,Pink,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1053,report_53.pdf,report2_53.pdf,https://diamondsite.com/diamond/53,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-22,Grading,Mumbai,S2053,True,True,Yes,TID3053,Botswana,Orapa
S1054,STPS,Princess,0.31,D,IF,VG,G,G,Strong,Yellow,4.64 x 7.53 x 4.93,,No,HRD,RN10054,RL10054,,6436.4,-27.77,5515.45,-60.89,7325.06,-41.99,61.96,57.21,Thin,Medium,1.6,Faceted,Small,Chipped,12.1,34.2,40.22,41.45,LI1054,Sample certification comment,"Feather, Cloud",Sample member comment,51.96,No shade,Yes,No,No,Yes,Pink,Fancy,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1054,report_54.pdf,report2_54.pdf,https://diamondsite.com/diamond/54,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-24,Grading,Mumbai,S2054,False,False,No,TID3054,Botswana,Orapa
S1055,STPS,Oval,3.81,D,VVS1,VG,VG,VG,Faint,Blue,5.12 x 5.07 x 4.85,,Yes,IGI,RN10055,RL10055,None,4884.52,-29.57,717.27,-37.15,4278.82,-26.93,63.6,64.07,Thin,Medium,1.67,Polished,Medium,Pointed,10.43,32.51,40.99,40.88,LI1055,Sample certification comment,"Feather, Cloud",Sample member comment,50.01,No shade,Yes,Yes,Yes,No,Blue,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1055,report_55.pdf,report2_55.pdf,https://diamondsite.com/diamond/55,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-30,Grading,Mumbai,S2055,False,True,No,TID3055,Botswana,Orapa
S1056,G,Emerald,0.48,F,VVS2,VG,EX,G,None,Yellow,6.69 x 7.02 x 2.58,,No,GCAL,RN10056,RL10056,,14814.45,-22.75,1352.33,-43.15,14980.89,-43.24,63.53,64.73,Medium,Thick,2.05,Polished,Medium,Pointed,16.94,30.52,44.15,41.11,LI1056,Sample certification comment,"Feather, Cloud",Sample member comment,57.06,No shade,No,Yes,No,Yes,Pink,,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1056,report_56.pdf,report2_56.pdf,https://diamondsite.com/diamond/56,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-02,Grading,Mumbai,S2056,True,False,Yes,TID3056,Botswana,Orapa
S1057,STPS,Princess,0.94,D,VVS1,VG,G,G,Strong,,6.6 x 7.34 x 4.42,Green,Yes,GIA,RN10057,RL10057,None,10851.65,-17.12,12362.53,-69.09,12711.29,-36.74,59.66,63.18,Medium,Medium,2.76,Polished,None,Abraded,10.31,33.06,42.19,40.98,LI1057,Sample certification comment,"Feather, Cloud",Sample member comment,48.76,No shade,Yes,Yes,No,Yes,Pink,,,India,Gujarat,Surat,CG Diamond,Premium,SID1057,report_57.pdf,report2_57.pdf,https://diamondsite.com/diamond/57,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-09,Grading,Mumbai,S2057,False,False,No,TID3057,Botswana,Orapa
S1058,M,Princess,0.55,F,VVS2,G,EX,EX,Medium,Yellow,4.13 x 4.08 x 4.4,Brown,No,GCAL,RN10058,RL10058,HPHT,6867.02,-28.38,11804.07,-24.51,8634.19,-1.99,60.6,50.88,Thick,Thin,2.23,Faceted,Medium,Pointed,11.1,34.88,43.17,41.05,LI1058,Sample certification comment,"Feather, Cloud",Sample member comment,53.47,Grey,No,Yes,No,No,Pink,Vivid,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1058,report_58.pdf,report2_58.pdf,https://diamondsite.com/diamond/58,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-20,Grading,Mumbai,S2058,True,True,No,TID3058,Botswana,Orapa
S1059,NA,Round,1.65,E,IF,EX,G,VG,None,Yellow,5.07 x 7.39 x 4.77,Milky,No,GCAL,RN10059,RL10059,HPHT,13714.49,-35.51,12202.73,-24.96,10339.49,-43.52,61.17,64.01,Thick,Medium,1.68,Polished,Small,Abraded,18.94,31.58,43.54,40.97,LI1059,Sample certification comment,"Feather, Cloud",Sample member comment,45.98,Brown,No,Yes,No,No,Pink,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1059,report_59.pdf,report2_59.pdf,https://diamondsite.com/diamond/59,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-04,Grading,Mumbai,S2059,True,False,Yes,TID3059,Botswana,Orapa
S1060,M,Emerald,3.37,D,IF,EX,EX,G,Faint,Blue,7.94 x 5.19 x 4.1,Green,No,HRD,RN10060,RL10060,,12176.15,-26.14,11662.32,-45.81,1428.29,-11.36,55.33,55.03,Medium,Medium,2.89,Polished,None,Pointed,10.53,30.59,44.52,40.21,LI1060,Sample certification comment,"Feather, Cloud",Sample member comment,50.81,No shade,Yes,Yes,Yes,No,,Faint,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1060,report_60.pdf,report2_60.pdf,https://diamondsite.com/diamond/60,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-24,Grading,Mumbai,S2060,True,True,Yes,TID3060,Botswana,Orapa
S1061,NA,Princess,1.16,D,VVS2,G,VG,VG,None,Blue,5.7 x 7.38 x 4.61,Brown,Yes,GIA,RN10061,RL10061,HPHT,12882.39,-31.13,2163.57,-19.38,7162.88,-27.85,56.41,59.87,Thick,Medium,2.51,Natural,Medium,Chipped,15.56,35.23,42.47,40.07,LI1061,Sample certification comment,"Feather, Cloud",Sample member comment,49.92,No shade,No,Yes,No,Yes,Yellow,Faint,,India,Gujarat,Surat,CG Diamond,Premium,SID1061,report_61.pdf,report2_61.pdf,https://diamondsite.com/diamond/61,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-27,Grading,Mumbai,S2061,True,True,Yes,TID3061,Botswana,Orapa
S1062,G,Round,1.87,E,VS2,VG,VG,VG,Strong,Yellow,5.4 x 7.13 x 3.34,,Yes,HRD,RN10062,RL10062,,3621.3,-47.15,5819.23,-5.57,5530.26,-37.86,64.75,62.71,Thick,Thick,1.38,Natural,Medium,Abraded,19.19,35.44,40.28,40.77,LI1062,Sample certification comment,"Feather, Cloud",Sample member comment,55.29,Brown,Yes,Yes,Yes,No,,,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1062,report_62.pdf,report2_62.pdf,https://diamondsite.com/diamond/62,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-12,Grading,Mumbai,S2062,True,True,No,TID3062,Botswana,Orapa
S1063,G,Round,4.04,H,VVS1,G,EX,VG,Medium,Blue,4.69 x 5.88 x 4.81,Milky,Yes,GIA,RN10063,RL10063,Fracture Filled,6459.9,-58.89,11824.18,-40.73,3663.32,-45.65,59.88,53.29,Medium,Medium,0.77,Faceted,Medium,Abraded,19.48,31.64,43.76,40.54,LI1063,Sample certification comment,"Feather, Cloud",Sample member comment,48.74,Grey,No,Yes,Yes,Yes,Blue,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1063,report_63.pdf,report2_63.pdf,https://diamondsite.com/diamond/63,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-19,Grading,Mumbai,S2063,True,True,No,TID3063,Botswana,Orapa
S1064,G,Round,0.6,H,VS1,G,G,G,None,,7.91 x 5.94 x 4.78,,Yes,HRD,RN10064,RL10064,HPHT,7955.31,-22.74,11285.26,-12.72,14986.72,-18.86,61.44,51.17,Medium,Thin,1.87,Faceted,None,Abraded,12.11,34.75,41.67,40.33,LI1064,Sample certification comment,"Feather, Cloud",Sample member comment,46.12,Grey,No,Yes,No,No,,Vivid,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1064,report_64.pdf,report2_64.pdf,https://diamondsite.com/diamond/64,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-02,Grading,Mumbai,S2064,False,False,No,TID3064,Botswana,Orapa
S1065,NA,Princess,3.1,G,VVS1,EX,G,VG,Strong,Yellow,5.37 x 4.01 x 2.92,Green,No,GCAL,RN10065,RL10065,Fracture Filled,6420.32,-52.13,7620.27,-67.47,3158.61,-13.2,64.75,56.64,Thin,Medium,0.7,Natural,Medium,Abraded,11.26,31.63,43.35,40.46,LI1065,Sample certification comment,"Feather, Cloud",Sample member comment,55.74,Grey,Yes,No,Yes,No,Blue,Fancy,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1065,report_65.pdf,report2_65.pdf,https://diamondsite.com/diamond/65,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-02-21,Grading,Mumbai,S2065,True,True,Yes,TID3065,Botswana,Orapa
S1066,M,Princess,2.03,H,VVS2,G,G,G,Strong,Blue,6.29 x 5.48 x 4.22,Green,No,HRD,RN10066,RL10066,None,13351.5,-29.53,4985.1,-59.75,11652.66,-34.82,59.04,61.79,Medium,Medium,1.16,Polished,None,Pointed,10.77,33.71,40.16,40.67,LI1066,Sample certification comment,"Feather, Cloud",Sample member comment,56.41,No shade,Yes,Yes,No,No,Pink,Vivid,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1066,report_66.pdf,report2_66.pdf,https://diamondsite.com/diamond/66,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-10-14,Grading,Mumbai,S2066,False,False,Yes,TID3066,Botswana,Orapa
S1067,STPS,Round,3.28,H,VS1,VG,VG,EX,Faint,Blue,7.4 x 4.09 x 4.19,Brown,No,HRD,RN10067,RL10067,,13276.66,-23.3,2267.35,-19.76,10864.98,-45.72,61.08,58.6,Medium,Thick,1.09,Natural,Medium,Pointed,18.23,31.02,40.32,40.3,LI1067,Sample certification comment,"Feather, Cloud",Sample member comment,52.83,Grey,No,No,Yes,No,Pink,Fancy,,India,Gujarat,Surat,CG Diamond,Premium,SID1067,report_67.pdf,report2_67.pdf,https://diamondsite.com/diamond/67,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-11-27,Grading,Mumbai,S2067,True,False,No,TID3067,Botswana,Orapa
S1068,NA,Round,2.34,F,VVS2,EX,G,G,None,Yellow,6.59 x 4.14 x 4.93,Green,Yes,GIA,RN10068,RL10068,None,4162.6,-10.8,9439.54,-24.99,1317.18,-7.35,55.08,62.17,Thick,Medium,2.51,Faceted,Small,Chipped,11.71,33.02,42.35,40.43,LI1068,Sample certification comment,"Feather, Cloud",Sample member comment,58.89,Grey,No,Yes,No,No,,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1068,report_68.pdf,report2_68.pdf,https://diamondsite.com/diamond/68,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-06-08,Grading,Mumbai,S2068,True,True,Yes,TID3068,Botswana,Orapa
